route_long_name,route_short_name,agency_id,route_type,route_id
Attibele Bus Stand ⇔ Anekal,399-G,1,3,2a2
Attibele Bus Stand ⇔ Aspire bee School,328-H ATB-SJP-ABS,1,3,1i3
Attibele Bus Stand ⇔ Bommasandra Canara Bank,360-B ATB-BOMC,1,3,2a7
Attibele Bus Stand ⇔ Daadinayakana Doddy,323-DN,1,3,yg
Attibele Bus Stand ⇔ Depot-27 Gate,399-F ATB-D27G,1,3,14e
Attibele Bus Stand ⇔ Depot-41 Gate,328-H ATB-D41G,1,3,ci
Attibele Bus Stand ⇔ Devanagondi,606,1,3,r2
Attibele Bus Stand ⇔ ISRO Layout,600-G ATB-ISRLO,1,3,uf
Attibele Bus Stand ⇔ Kadugodi Bus Station,328-H ATB-KDG,1,3,1yc
Attibele Bus Stand ⇔ Kadugodi Bus Station,328-HK,1,3,t9
Attibele Bus Stand ⇔ Kaggalipura,398-B ATB-KGP,1,3,30u
Attibele Bus Stand ⇔ Kranthiveera Sangolli Rayanna Railway Station,360-K KSR-ATB,1,3,2ai
Atturu ⇔ Puttenahalli,ATR-PTH,1,3,qt
Avalahalli BDA Park Girinagara ⇔ Attibele Bus Stand,KBS-3A ALH-ATB,1,3,4l
BCC Layout ⇔ Kaval Byrasandra,176-E,1,3,70
BCC Layout ⇔ Shivajinagara Bus Station,63,1,3,1sb
BDA Complex HSR Layout ⇔ Attibele Bus Stand,KBS-3A HSRBDA-ATB,1,3,a5
BDA Complex HSR Layout ⇔ Electronic City Wipro Main Gate,356-CW,1,3,1sv
BDA Complex HSR Layout ⇔ Electronic City Wipro Main Gate,356-CW UFLY,1,3,4c
BDA Complex HSR Layout ⇔ Kempegowda International Airport,KIA-7A,1,3,15p
BDA Complex HSR Layout ⇔ Wonderla Amusement Park,V-226HSR,1,3,1bw
BEL Circle ⇔ BEML Layout 5th stage,401-RC,1,3,4u
BEL Circle ⇔ Central Silk Board,V-500BC,1,3,2z1
BEL Circle ⇔ Jalahalli Cross,MF-23B,1,3,11e
BEL Circle ⇔ KR Pura Railway Station,500-QB,1,3,2j1
BEL Circle ⇔ Kadugodi Bus Station,V-500QK,1,3,2kg
BEL Circle ⇔ Kuvempunagara Bus station (BTM Layout),500-BC BEL-BTM,1,3,1c3
BEL Circle ⇔ Nandini Layout Bus Stand,MF-48 BELC-NLO,1,3,4a
BEL Factory ⇔ Central Silk Board,500-D BELF-CSB,1,3,f0
BEL Factory ⇔ Doddaballapura Bus Stand,285 BELF-HBLB-DBP,1,3,2g5
BEL Factory ⇔ Kempegowda Bus Station,276 BELF-KBS,1,3,25r
BEML Factory ⇔ Central Silk Board,500-D BEML-TNF-CSB,1,3,1uy
BEML Factory ⇔ Hosakote Bus Stand (Old),KBS-12HK BEMLF-HSK,1,3,1r8
BEML Factory ⇔ Yelahanka Old Town,314 BEMLF-SBS-YHK,1,3,va
BEML Gate ⇔ Banasawadi,303 BEMLG-BSW,1,3,24x
BEML Gate ⇔ Beguru,BEML-BGR,1,3,1ug
BEML Gate ⇔ Central Silk Board,500 BEML-MRTB-CSB,1,3,pt
BEML Gate ⇔ Electronic City,201-G BEMLG-ELC,1,3,2m6
BEML Gate ⇔ Kadugodi Bus Station,335-E BEML-HAL-KGD,1,3,235
BEML Gate ⇔ Kengeri Bus Station,375-D BEMLG-KGR,1,3,2ke
BEML Gate ⇔ Summanahalli,314-H MLP-SMH,1,3,hs
BEML Layout 5th stage ⇔ Attibele Bus Stand,600-F BEML5-ATB,1,3,lo
BEML Layout 5th stage ⇔ Avarehalli,227-W BEML5-AVH,1,3,11o
BEML Layout 5th stage ⇔ BEML Gate,BEML5-BEMLG,1,3,1bd
BEML Layout 5th stage ⇔ BHEL Concord Layout,225-D BEML5-BHELC,1,3,124
BEML Layout 5th stage ⇔ Banashankari Bus Station,BEML5TS-BSK,1,3,23o
BEML Layout 5th stage ⇔ CK Thandya,227-T BEML5-CKT,1,3,6n
BEML Layout 5th stage ⇔ Chikka Banavara,248 BEML5-CKB,1,3,2b2
BEML Layout 5th stage ⇔ Chikkegowdanapalya,BEML5-CKGP,1,3,zl
BEML Layout 5th stage ⇔ Darshan Farm,225-CC BEML5-DRF,1,3,2ex
BEML Layout 5th stage ⇔ Electronic City,378 BEML5-ELC,1,3,1kc
BEML Layout 5th stage ⇔ Electronic City Wipro Main Gate,NICE-5,1,3,2fo
BEML Layout 5th stage ⇔ HAL Main Gate,335 BEML5-HAL,1,3,14u
BEML Layout 5th stage ⇔ Hebbala Bridge,501-NH BEML5-HBLB,1,3,1i9
BEML Layout 5th stage ⇔ Ittamadu 1,D21G-ITM,1,3,166
BEML Layout 5th stage ⇔ Jnanakshi Layout,225-C BEML5-JNKLO,1,3,xh
BEML Layout 5th stage ⇔ Jnanakshi Vidyaniketan School,225-C BEML5-JNSVS,1,3,1x
BEML Layout 5th stage ⇔ Kambipura,BEML5-KMB,1,3,1gf
BEML Layout 5th stage ⇔ Kempegowda Bus Station,210-N BEML5TS-KBS,1,3,2cp
