route_long_name,route_short_name,agency_id,route_type,route_id
Chandra Layout ⇔ Vinayaka Nagara Old Gudadahalli,CLO-VNK,1,3,2ko
Chandra Layout ⇔ Yelahanka Old Town,401-E,1,3,1sk
Chandra Layout ⇔ Yelahanka Old Town,401-K CLO-YHKOT,1,3,2lx
Chandrappa Circle ⇔ Kempegowda Bus Station,227-RC CDPC-KBS-KMT,1,3,qb
Chandrappa Circle ⇔ Shivajinagara Bus Station,227 SBS-KMT FLY-CDC,1,3,28
Chikka Banavara ⇔ Bagalur,401-AK,1,3,72
Chikka Banavara ⇔ Electronic City Wipro Main Gate,NICE-7A,1,3,1an
Chikka Banavara ⇔ KR Pura Railway Station,507-A,1,3,2bs
Chikka Banavara ⇔ Laggere New Bus Stand,MF-32,1,3,9n
Chikka Banavara ⇔ Summanahalli,BC-8,1,3,1g3
Chikka Beguru ⇔ KR Market (Kalasipalya),347-C KMT-CKBR,1,3,2sh
Chikka Beguru ⇔ Kempegowda Bus Station,347-C,1,3,17r
Chikka Bellanduru ⇔ Attibele Bus Stand,328-H CBR-ATB,1,3,46
Chikkallasandra ⇔ Hebbala Bridge,500-AD,1,3,2z2
Chikkallasandra ⇔ Shanthinagara Bus Station,Callbus-3,1,3,1f6
Chikkegowdanapalya ⇔ Yeshawanthapura Bus Station,401-RA,1,3,2h7
Choodasandra ⇔ KR Market (Kalasipalya),341-B,1,3,jy
Choodasandra ⇔ Kempegowda Bus Station,341-B KBS-CSR,1,3,iv
Chowdary Line ⇔ Kempegowda Bus Station,300-H CWL-KBS,1,3,2ll
Christal House Learning School ⇔ Kaval Byrasandra,290 CHLS-HBL-KVB,1,3,ba
Classic Archid Apartment Kothanuru ⇔ Electronic City,COAA-ELC,1,3,11u
Cubbon Park Metro Station ⇔ Cubbon Park Metro Station,MF-8,1,3,30f
Cubbon Park Metro Station ⇔ Kaval Byrasandra,111 CMS-KBR,1,3,20n
Cubbon Park Metro Station ⇔ Kaval Byrasandra,112 CMS-KBR,1,3,2yz
DEPOT-19 Gate ⇔ PES College Hostel Kasavanahalli,D19-PESCE,1,3,gd
DSC HAL GM Palya ⇔ CV Raman Nagara,DSC HAL-CVR,1,3,gz
Dasanapura ⇔ Aluru BDA 2nd Stage,255-AE DSP-ALRB2,1,3,2b4
Dasanapura ⇔ Alurupalya,257-E DSP-ALR,1,3,2gm
Dasanapura ⇔ Govindapura,255-H DSP-GVDP,1,3,1e0
Dasanapura ⇔ Huskur Village,255-A DSP-HKV,1,3,o7
Dasanapura ⇔ Kasaghattapura,254-A DSP-KGT,1,3,1dn
Dasanapura ⇔ Kempapura,254-D DSP-KMBRH-KMP,1,3,136
Dasanapura ⇔ Madavara Village,257-B DSP-MDVR,1,3,23a
Dasanapura ⇔ Mattahalli,255 MTH-DSP,1,3,2ru
Dasanapura ⇔ Mattahalli,255-AA DSP-MTH,1,3,3e
Dasanapura ⇔ Narasipura,255-N DSP-NSP,1,3,1j
Dasanapura ⇔ Pillahalli,255-C DSP-PLH,1,3,n3
Dasanapura ⇔ Thammarasanahalli Madhugirihalli,253-W D40G-TMH,1,3,1cz
Deepanjalinagara ⇔ 1st Stage 3rd Block Nagarabhavi,238-D DPJN-NBV1S,1,3,16v
Deepanjalinagara ⇔ Banashankari Bus Station,MF-12 DPJN-BSK,1,3,52
Deepanjalinagara ⇔ Bangarappa Nagara,43-JA DPJN-BRN,1,3,1da
Deepanjalinagara ⇔ Dodda Basti,223-D DPJN-DBT,1,3,rk
Deepanjalinagara ⇔ Girinagara Extension,DPJN-GNE,1,3,jk
Deepanjalinagara ⇔ Hampinagara RPC Layout,DPJN-RPCLO,1,3,ju
Deepanjalinagara ⇔ Hebbala Bridge,501-NH DPJN-HBLB,1,3,2db
Deepanjalinagara ⇔ Jagajeevanram Nagara,DPJN-JJN,1,3,fw
Deepanjalinagara ⇔ Kempegowda Swimming Pool,DPJN-KSP,1,3,1c9
Deepanjalinagara ⇔ Malleshwara Bus Stand,75 DPJN-MBS,1,3,q2
Deepanjalinagara ⇔ Mysore Road Bus Station,DPJN-MCTC,1,3,2vp
Deepanjalinagara ⇔ Nagavara,TR-4 DPJN-NGV,1,3,2en
Deepanjalinagara ⇔ Nrupathunganagara Chandana Hospital,DPJN-NTN,1,3,1n6
Deepanjalinagara ⇔ Srigandhada Kaval,238-S DPJN-SGK,1,3,10f
Deepanjalinagara ⇔ Ullala Satelite Town,238-UM DPN-UST,1,3,g1
Deepanjalinagara ⇔ Ullala Satelite Town,238-UM DPN-VJN-UST,1,3,w4
Deepanjalinagara ⇔ Yeshawanthapura Bus Station,410-FA DPJN-YBS,1,3,7m
Depot-04 Jayanagara ⇔ 4th T Block Jayanagara,D4-JBS4T,1,3,13z
Depot-04 Jayanagara ⇔ Sanjay Gandhi Hospital,D4-SGH,1,3,19g
Depot-06 Gate ⇔ Abbaiah Layout,314-X D06G-ABYL,1,3,2p
Depot-06 Gate ⇔ Army Public School Kamaraja Road,D06G-ARPS,1,3,q0
Depot-06 Gate ⇔ Banashankari Bus Station,201-G D6G-BSK,1,3,1p1
Depot-06 Gate ⇔ Basavanagara,330 D6G-BSN,1,3,2dj
Depot-06 Gate ⇔ Brigade Road,G-3 D6G-BGR,1,3,12r
Depot-06 Gate ⇔ Bristol Quarters,D06G-BRSQ,1,3,2af
Depot-06 Gate ⇔ CV Raman Nagara,D6G-CVRN,1,3,2jq
Depot-06 Gate ⇔ Central Silk Board,201-Q D6G-CSB,1,3,2i5
Depot-06 Gate ⇔ Central Silk Board,MF-6 D06G-CSB,1,3,1vj
Depot-06 Gate ⇔ DSC HAL GM Palya,D06G-DSC HAL,1,3,jq
Depot-06 Gate ⇔ Domlur Marriad Accomodation,D6G-DMLMDA,1,3,30k
Depot-06 Gate ⇔ Dr BR Ambedkar Bus Terminal (Domlur),201 D06G-DMR,1,3,2av
Depot-06 Gate ⇔ Electronic City Wipro Main Gate,MF-500EB D6G-ELCW,1,3,16w
Depot-06 Gate ⇔ GBJ Colony Gate Doddanekkundi,D6G-GBJCG,1,3,17z
Depot-06 Gate ⇔ HAL Gnanajyothi School,D6G-HAL-JGS,1,3,1ul
Depot-06 Gate ⇔ HAL Market/SBI Bank,D06G-HALM,1,3,73
Depot-06 Gate ⇔ Jeevanbheema Nagara,138 D6G-JBN,1,3,27h
Depot-06 Gate ⇔ Jeevanbheema Nagara,139 D6G-HLS-JBN,1,3,ir
Depot-06 Gate ⇔ Kadugodi Bus Station,KBS-1I D6G-KDG,1,3,22f
Depot-06 Gate ⇔ Kaval Byrasandra,D6G-KVB,1,3,1wd
Depot-06 Gate ⇔ MEG Centre,D6G-MEG,1,3,175
Depot-06 Gate ⇔ Malleshpalya New Bus Station(Vignananagar),314-FA D06G-MLP,1,3,2lg
Depot-06 Gate ⇔ Malleshpalya New Bus Station(Vignananagar),D6G-MNBS,1,3,7c
Depot-06 Gate ⇔ Miranda School,D06G-MRS,1,3,lt
Depot-06 Gate ⇔ Munnekolalu,D06G-MNK,1,3,169
Depot-06 Gate ⇔ Neelasandra Rose Garden,144-E D6G-KFC-NRG,1,3,sq
Depot-06 Gate ⇔ Neelasandra Rose Garden,D6G-NRG,1,3,22o
Depot-06 Gate ⇔ RBI Quarters Cunningham Road,D6G-RBIQ,1,3,c4
Depot-06 Gate ⇔ Rameshnagara,MF-1F D06G-RMN,1,3,4b
Depot-06 Gate ⇔ Rameshnagara,MF-1F D6G-RMN,1,3,c
Depot-06 Gate ⇔ Senior Officers Quaters,D6G-SOQ,1,3,b7
Depot-06 Gate ⇔ Sivanchetty Gardens,D06G-TOC,1,3,1jo
Depot-06 Gate ⇔ Vibhuthipura Samudaya Bhavan,314-T D06G-VBP,1,3,1y8
Depot-06 Indiranagara ⇔ Depot-06 Gate,D6-D6G,1,3,1hr
Depot-07 Subhashnagara ⇔ Kempegowda Bus Station,D7-KBS,1,3,wv
Depot-08 Yashawanthapura ⇔ Govt Soap Factory,D8-KSF,1,3,2oy
Depot-08 Yashawanthapura ⇔ Yeshawanthapura Bus Station,D8-YBS,1,3,nx
Depot-09 Peenya ⇔ ISRO Quarters Jalahalli,D09-ISROOJ,1,3,2gf
Depot-09 Peenya ⇔ Peenya 2nd stage,D9-PSS,1,3,1d7
Depot-10 Gate ⇔ Beguru,293-BS D10G-BGLR,1,3,2hk
Depot-10 Gate ⇔ Central Silk Board,500-D D10G-CSB,1,3,18a
Depot-10 Gate ⇔ Goraguntepalya,500-DP D10G-GGP,1,3,2wv
Depot-10 Gate ⇔ Hebbala Bridge,500-D D10G-HBLB,1,3,v3
Depot-10 Gate ⇔ Kadugodi Bus Station,500-QK D10G-KDG,1,3,qv
Depot-10 Gate ⇔ Kalyananagara,CHAKRA-10A D10G-KLN,1,3,27
Depot-10 Gate ⇔ Krishnaraja Pura Govt Hospital,500-Q D10G-TNF-KRPGH,1,3,m3
Depot-10 Gate ⇔ RK Hegde Nagara,291-H D10G-RKHN,1,3,2a0
Depot-10 Gate ⇔ Shivajinagara Bus Station,293 D10G-SBS,1,3,2tx
Depot-10 Gate ⇔ Yelahanka Old Town,290-E D10G-YHK,1,3,2hu
Depot-10 Hennuru ⇔ Depot-10 Gate,D10-D10G,1,3,wk
Depot-10 Hennuru ⇔ Hennur Junction,D10G-HNRJN,1,3,24d
Depot-11 Puttenahalli ⇔ Malya Adhithi School,D11-MADT,1,3,9a
Depot-11 Puttenahalli ⇔ Puttenahalli,D11-PTH,1,3,1e8
Depot-12 Gate ⇔ Basava Gangotri Samsthe,D12G-BSVG,1,3,126
Depot-12 Gate ⇔ Depot-12 Kengeri,D12G-D12,1,3,1d2
Depot-12 Gate ⇔ Dodda Basti,D12G-DBT,1,3,7y
Depot-12 Gate ⇔ Electronic City,378 D12G-ELC,1,3,1up
Depot-12 Gate ⇔ Good Earth Malhar,D12G-GEM,1,3,269
Depot-12 Gate ⇔ Karubele,224 D12-KRBL,1,3,59
Depot-12 Gate ⇔ Shanthinagara Bus Station,G-6 D12G-SBT,1,3,3d
Depot-12 Kengeri ⇔ Basavanagara Kengeri,D12-BSN,1,3,p9
Depot-12 Kengeri ⇔ Kengeri Bus Station,D12-KGR,1,3,1fm
Depot-12 Kengeri ⇔ RR Medical College,D12-RRMC,1,3,24u
Depot-13 Kathriguppe ⇔ Kamakya Talkies,D13-KMK,1,3,1s0
Depot-14 Gate ⇔ ARMY PUBLIC SCHOOL (Parachute Regiment),D14G-ARMY PTRC,1,3,le
Depot-14 Gate ⇔ Alphine Apartment,D14G-ALP,1,3,2rj
Depot-14 Gate ⇔ Anjanamurthy,D14G-AJM,1,3,d9
Depot-14 Gate ⇔ Chowdary Line,300 D14G-CWL,1,3,am
Depot-14 Gate ⇔ Hebbala,279-E D14G-RTNPS-BPS-HBL,1,3,67
Depot-14 Gate ⇔ Kempegowda Bus Station,284 D14G-RTNPS-KBS,1,3,19r
Depot-14 Gate ⇔ Kengeri Bus Station,501-C D14G-HBLB-KGR,1,3,1qb
Depot-14 Gate ⇔ Manorayanapalya,D14G-MRP,1,3,2is
Depot-14 Gate ⇔ Renaissance prosperio apartment,D14G-RPA,1,3,rq
Depot-14 Gate ⇔ Shivajinagara Bus Station,107-C D14G-SBS,1,3,1yh
Depot-14 RT Nagara ⇔ Depot-14 Gate,D14-D14G,1,3,2el
Depot-14 RT Nagara ⇔ Hebbala Bridge,D14-HBLB,1,3,9w
Depot-14 RT Nagara ⇔ RT Nagara Police Station,D14-RTN,1,3,dd
Depot-14 RT Nagara ⇔ RT Nagara Police Station,D14-RTN GGN,1,3,8b
Depot-15 Koramangala ⇔ Koramangala Bus Station,D15-KRM,1,3,1bo
Depot-16 Deepanajalinagara ⇔ Deepanjalinagara,D16-DPJN,1,3,1zs
Depot-17 Chandra Layout ⇔ Chandra Layout,D17-CLO,1,3,ij
Depot-18 White Field ⇔ White Field Bus Station (Vydehi Hospital),D18-WFTTMC,1,3,2e7
Depot-19 Electronic City ⇔ DEPOT-19 Gate,D19-D19G,1,3,107
Depot-19 Electronic City ⇔ Electronic City,D19-ELC,1,3,2p0
Depot-19 Electronic City ⇔ Electronic City,D19-ELCT,1,3,ce
Depot-20 Banashankari ⇔ Banashankari Bus Station,D20-BSK,1,3,1cw
Depot-20 Banashankari ⇔ Chikkallasandra,D20-CSBS,1,3,1pn
Depot-20 Banashankari ⇔ Dayananda Sagar College,D20-DSIT,1,3,vk
Depot-20 Banashankari ⇔ Kumaraswamy Layout,D20-KML,1,3,1y4
Depot-21 BEML Layout ⇔ BEML Layout 5th stage,D21-BEML5,1,3,130
Depot-23 Kalyana Nagara ⇔ Kalyananagara,D23-KLN,1,3,2pg
Depot-24 Gate ⇔ B Channasandra Bridge(Ramamurthy Nagara Ring Road),301-T D24G-RMB,1,3,2rv
Depot-24 Gate ⇔ B Channasandra Bridge(Ramamurthy Nagara Ring Road),301-T D24G-TCP-BCRB,1,3,1rk
Depot-24 Gate ⇔ BN Bachegowda Badavane,304-R D24G-BGB,1,3,2ne
Depot-24 Gate ⇔ Bagmane Tech Park (Graphite India),D24G-BTPG,1,3,b0
Depot-24 Gate ⇔ Chikka Thirupathi,304-VB D24G-CKT,1,3,1b0
Depot-24 Gate ⇔ Dandupalya,380-G D24G-DNP,1,3,vh
Depot-24 Gate ⇔ Devalapura Circle,305-V D24G-DVPC,1,3,2rc
Depot-24 Gate ⇔ Dodda Nekkundi,D24G-DNK,1,3,221
Depot-24 Gate ⇔ E Muthsandra,381-D D24G-EMTS,1,3,2ok
Depot-24 Gate ⇔ Ganagaluru,304-Q D24G-GNLU,1,3,2mq
Depot-24 Gate ⇔ HRBR 1st Stage,D24G-HRBR1,1,3,26x
Depot-24 Gate ⇔ Hosakote Bus Stand (Old),317 D24G-HSK,1,3,2a4
Depot-24 Gate ⇔ Jayamangala,306-MA D24G-JYM,1,3,a6
Depot-24 Gate ⇔ KR Market,317 D24G-ITIG-KMT,1,3,v6
Depot-24 Gate ⇔ Kadugodi Bus Station,319 D24G-KDG,1,3,1jh
Depot-24 Gate ⇔ Kadugodi Bus Station,319-C D24G-KDG,1,3,21e
Depot-24 Gate ⇔ Kempegowda Bus Station,317-A D24G-KBS,1,3,he
Depot-24 Gate ⇔ Khaji Sonnenahalli,319 24G-KSH,1,3,wd
Depot-24 Gate ⇔ Kittaganuru,310-E D24G-KNG,1,3,14v
Depot-24 Gate ⇔ Krishnaraja Pura Govt Hospital,D24G-KRPGH,1,3,cm
Depot-24 Gate ⇔ Krishnaraja Pura Govt Hospital,D24G-KRPGH1,1,3,1hs
Depot-24 Gate ⇔ Lingadeera Mallsandra,306-A D24G-LDMS,1,3,1x6
Depot-24 Gate ⇔ Medahalli,311-J D24G-MDH,1,3,2qf
Depot-24 Gate ⇔ Muthkur,321-G D24G-MTK,1,3,2wb
Depot-24 Gate ⇔ Naduvatti Colony,305-F D24G-NDVC,1,3,2w
Depot-24 Gate ⇔ Sadaramangala,311-K D24G-SMG,1,3,xv
Depot-24 Gate ⇔ Seetharampalya Metro Station,D24G-SRPMS,1,3,2jd
Depot-24 Gate ⇔ Shivajinagara Bus Station,300-E D24G-SBS,1,3,1a4
Depot-24 Gate ⇔ Shivajinagara Bus Station,311 D24G-SBS,1,3,2e
Depot-24 Gate ⇔ Tharabanahalli,317-TA D24G-TBH,1,3,1d6
Depot-24 Gate ⇔ Tin Factory,D24G-TNFY,1,3,1oi
Depot-24 ITI Layout ⇔ Depot-24 Gate,D24-D24G,1,3,82
Depot-24 ITI Layout ⇔ ITI Colony Gate,D24-ITIG,1,3,1c5
Depot-24 ITI Layout ⇔ KR Pura Market,D24-KRPM,1,3,1qw
Depot-24 ITI Layout ⇔ Krishnaraja Pura Govt Hospital,D24-KRPGH,1,3,de
Depot-24 ITI Layout ⇔ Tin Factory,D24-TNF,1,3,ca
Depot-24 ITI Layout ⇔ Tin Factory,D24G-TNF,1,3,17d
Depot-25 Gate ⇔ BDA Complex HSR Layout,D25G-HSRBDA,1,3,2lp
Depot-25 Gate ⇔ HSR Layout KEB,D25G-HSRKEB,1,3,19x
Depot-25 Gate ⇔ Kempegowda Bus Station,V-342F D25G-KBS,1,3,2of
Depot-25 Gate ⇔ Sarjapura,V-342F D25G-SJP,1,3,3r
Depot-25 HSR Layout ⇔ Depot-25 Gate (Central Silk Board),D25-D25G,1,3,z3
Depot-26 Yeshawanthapura ⇔ Yeshawanthapura Bus Station,D26-YBS,1,3,5z
Depot-27 Gate ⇔ Anekal,365-P D27-ANK,1,3,8
Depot-27 Gate ⇔ Anekal,D27G-ANKL,1,3,l5
Depot-27 Gate ⇔ Attibele Bus Stand,398-H D27-ATB,1,3,1xh
Depot-27 Gate ⇔ Banashankari Bus Station,600-FC D27-JAPC,1,3,1ls
Depot-27 Gate ⇔ Bommasandra,D27G-RKT-BMS,1,3,1xl
Depot-27 Gate ⇔ Brigade Road,G-4 D27G-BGRD,1,3,2t6
Depot-27 Gate ⇔ Byatarayana Doddy,366-M D27G-BTRD,1,3,9c
Depot-27 Gate ⇔ Hosakote Bus Stand (Old),398-H D27G-HSK,1,3,1rz
Depot-27 Gate ⇔ Hosakote Bus Stand (Old),399-F D27G-ANK-HSK,1,3,1qo
Depot-27 Gate ⇔ Vaddarapalya,366-R D27G-VDP,1,3,1ai
Depot-27 Jigani ⇔ Depot-27 Gate,D27-D27G,1,3,1oy
Depot-27 Jigani ⇔ Jigani APC Circle,D27-JAPC,1,3,j5
Depot-28 Hebbala ⇔ Hebbala Bridge,D28-HBLB,1,3,pr
Depot-29 KR Puram ⇔ KR Pura Market,D29-KRPM,1,3,2vk
Depot-29 KR Puram ⇔ Krishnaraja Pura Govt Hospital,D29-KRPGH,1,3,44
Depot-30 Puttenahalli ⇔ NES Office,D30-NES,1,3,2q7
Depot-30 Puttenahalli ⇔ Puttenahalli,D30-PTN,1,3,29j
Depot-31 Gate ⇔ 2nd Stage 11th Block Nagarabhavi,D31G-NBV11,1,3,43
Depot-31 Gate ⇔ 8th Mile Dasarahalli,BC-7H D31G-8MYL,1,3,10n
Depot-31 Gate ⇔ Bande Maramma Bus Station,D31G-BMBS,1,3,q1
Depot-31 Gate ⇔ Brahma Devara Gudda,241-N D31G-BDG,1,3,16
Depot-31 Gate ⇔ Dwaraka Nagara,502-H D31G-KTS-DWN,1,3,1h1
Depot-31 Gate ⇔ GKVK,401-K D31G-GKVK,1,3,6o
Depot-31 Gate ⇔ Jai Maruthi Nagara,D31G-JMN,1,3,29v
Depot-31 Gate ⇔ Jalahalli Cross,248 D31G-JHC,1,3,pv
Depot-31 Gate ⇔ Janapriya Township,G-7 D31G-JPTS,1,3,ap
Depot-31 Gate ⇔ KR Market (Kalasipalya),242 D31G-KMT,1,3,1wr
Depot-31 Gate ⇔ Kadabagere,245-GA D31G-KDG,1,3,uc
Depot-31 Gate ⇔ Kamalanagara BEML Layout,D31G-KML,1,3,1tm
Depot-31 Gate ⇔ Kempegowda Bus Station,238-U D31G-KBS,1,3,bn
Depot-31 Gate ⇔ Kempegowda Bus Station,242-B D31G-KBS,1,3,25b
Depot-31 Gate ⇔ Kempegowda Bus Station,80-A D31G-KBS,1,3,1vc
Depot-31 Gate ⇔ Kengeri Bus Station,401-K D31G-KGR,1,3,1sm
Depot-31 Gate ⇔ Malleshwara Bus Stand,401-N D31G-MBS,1,3,r
Depot-31 Gate ⇔ Manganahalli,D31G-MGH,1,3,1b5
Depot-31 Gate ⇔ Mount Carmel College,D31G-MCCVN,1,3,1c4
Depot-31 Gate ⇔ Nelamangala Bus Station,374-N D31G-NMG,1,3,dn
Depot-31 Gate ⇔ Shankarnagh Bus Stand,96-G D31G-SNB,1,3,16y
Depot-31 Gate ⇔ Shivajinagara Bus Station,66 D31G-SBS,1,3,ct
Depot-31 Gate ⇔ Sir M Vishweshwaraiah Layout 9th Blk Mallathahalli,238-UC D31G-VSL,1,3,1l3
Depot-31 Gate ⇔ Tavarekere,242-B D31G-TVK,1,3,2od
Depot-31 Gate ⇔ Vidhana Soudha Layout,D31G-VSDLO,1,3,27d
Depot-31 Gate ⇔ Vigneshwara Nagara,D31G-VGN,1,3,sx
Depot-31 Summanahalli ⇔ Depot-31 Gate,D31-D31G,1,3,6v
Depot-32 Suryacity ⇔ Surya Nagara,D32-SRN,1,3,1vy
Depot-33 Poornapragna layout ⇔ Poornaprajna Layout,D33-PPLO,1,3,1rc
Depot-34 Gate ⇔ Anekal,345-E D34G-BGR-ANK,1,3,18y
Depot-34 Gate ⇔ Anekal,365-P D34-ANK,1,3,31v
Depot-34 Gate ⇔ Anjanapura,D34G-ANP,1,3,8n
Depot-34 Gate ⇔ Banashankari Bus Station,378-E D34-BSK,1,3,22q
Depot-34 Gate ⇔ Bannerughatta National Park,365 D34G-BNP,1,3,2qg
Depot-34 Gate ⇔ Beguru,D34G-BGR,1,3,1in
Depot-34 Gate ⇔ Bishop Coton Girls High School,215-S D34G-JBS-BCGS,1,3,1fp
Depot-34 Gate ⇔ Bommanahalli,D34-AECS-BGR-BMH,1,3,wt
Depot-34 Gate ⇔ Brigade Road,G-4 D34G-BGRD,1,3,2je
Depot-34 Gate ⇔ Byatarayana Doddy,366-M D34G-BTRD,1,3,x6
Depot-34 Gate ⇔ Chikka Kammanahalli,D34-CKH,1,3,1my
Depot-34 Gate ⇔ Chikkallasandra,378 D34G-CKLS,1,3,31q
Depot-34 Gate ⇔ Classic Archid Apartment Kothanuru,D34G-COAA,1,3,2rg
Depot-34 Gate ⇔ Classic Archid Apartment Kothanuru,D34G-COAAS,1,3,9o
Depot-34 Gate ⇔ Devarachikkanahalli,D34G-DCH,1,3,in
Depot-34 Gate ⇔ Electronic City,378 D34G-ELC,1,3,1f9
Depot-34 Gate ⇔ Electronic City,378-C D34G-ELC,1,3,uh
Depot-34 Gate ⇔ Giddenahalli,366-N D34G-GDH,1,3,2xz
Depot-34 Gate ⇔ Gundanjaneya Swamy Temple Ravagodlu,213-K D34G-GAT,1,3,ys
Depot-34 Gate ⇔ Head Start School Kommasandra,378 D34G-ELC-HSS,1,3,fa
Depot-34 Gate ⇔ Hulimavu,369-A D34-HLM,1,3,nq
Depot-34 Gate ⇔ Hulimavu,D34G-HLMV,1,3,12a
Depot-34 Gate ⇔ JP Nagara 6th Phase,215-H D-34-JPN6,1,3,2yr
Depot-34 Gate ⇔ Jayanagara Metro Station Arrival,215-C D34G-JNMS,1,3,2k4
Depot-34 Gate ⇔ Jigani APC Circle,D34G-JSD-JAPC,1,3,31y
Depot-34 Gate ⇔ KR Market (Kalasipalya),215 D34G-KKC-KMT,1,3,6x
Depot-34 Gate ⇔ KR Market (Kalasipalya),215-C D34G-KMT,1,3,1h
Depot-34 Gate ⇔ KR Market (Kalasipalya),366-N D34G-KMT,1,3,2jj
Depot-34 Gate ⇔ Kengeri Bus Station,378 D34-KGR,1,3,f1
Depot-34 Gate ⇔ Kodichikkanahalli,D34G-KCH,1,3,ek
Depot-34 Gate ⇔ KoratagereDoddy Bannerughatta,370-B D34G-KRTD,1,3,1br
Depot-34 Gate ⇔ Mutturayanaswamy Doddy,366-KA D34G-MRD,1,3,2kh
Depot-34 Gate ⇔ Nisarga Badavane,372-C D34G-NSB,1,3,d2
Depot-34 Gate ⇔ Nosenuru,366 D34-NSR,1,3,1gc
Depot-34 Gate ⇔ RamanayakanaDoddy,370-E D34G-RND,1,3,286
Depot-34 Gate ⇔ Ramasandra,367 D34G-RSD,1,3,sw
Depot-34 Gate ⇔ Shanthiniketan Layout,D34G-SKL,1,3,18u
Depot-34 Gate ⇔ Thalaghattapura Metro Station,D34-TGPM,1,3,ac
Depot-34 Gate ⇔ Yelenahalli,D34G-YLH,1,3,13p
Depot-34 Kottanur ⇔ Depot-34 Gate,D34-D34G,1,3,1ck
Depot-34 Kottanur ⇔ Jambu Savari Dinne,D34-JSD,1,3,i
Depot-35 Gate ⇔ Brahma Devara Gudda,241-N D35G-BDG,1,3,25d
Depot-35 Gate ⇔ Byadarahalli,D35G-BDH,1,3,2e5
Depot-35 Gate ⇔ Bylakonenahalli,240-E D35G-BKH,1,3,6g
Depot-35 Gate ⇔ Gangenahalli,242-Q D35G-GGH,1,3,gj
Depot-35 Gate ⇔ Gidadakonenahalli,243-F D35G-GKH,1,3,160
Depot-35 Gate ⇔ HAL ARDC,D35G-KBS-HAL,1,3,1hh
Depot-35 Gate ⇔ Hebbala Bridge,501-BH D35G-HBL,1,3,1ey
Depot-35 Gate ⇔ Janapriya Township,D35G-JPT,1,3,1x8
Depot-35 Gate ⇔ KR Market (Kalasipalya),242 D35G-KMT,1,3,2gx
Depot-35 Gate ⇔ Kachohalli,240-C D35G-KCH,1,3,1ez
Depot-35 Gate ⇔ Lingadeeranahalli,D35G-LDH,1,3,2xm
Depot-35 Gate ⇔ Mantanakurchi,242-TA D35G-MTK,1,3,23q
Depot-35 Gate ⇔ Nelamangala Bus Station,245-HA D35G-NMG,1,3,293
Depot-35 Gate ⇔ Nelamangala Bus Station,374-N D35G-TVK-NML,1,3,1k0
Depot-35 Gate ⇔ Shettyhalli,248-V D35G-STH,1,3,1ft
Depot-35 Gate ⇔ Shivajinagara Bus Station,G-7 D35G-KBS-SBS,1,3,24t
Depot-35 Gate ⇔ Tavarekere,242 D35G-TVK,1,3,20p
Depot-35 Gate ⇔ Thigalarapalya,242-CB D35G-TGP,1,3,2ic
Depot-35 Gate ⇔ Yale Kodigehalli,D35G-YKH,1,3,1oz
Depot-35 Kannalli ⇔ Depot-35 Gate,D35-D35G,1,3,2ol
Depot-36 Bidadi ⇔ Depot-36 Gate,D36-D36G,1,3,1qf
Depot-36 Bidadi ⇔ Kenchanakuppe,D36G-KNGP,1,3,nr
Depot-36 Gate ⇔ Govt First Grade College Bidadi,D36G-GFGC,1,3,21s
Depot-36 Gate ⇔ Guddadahalli Dinne,231-J D36G-GDH,1,3,1ye
Depot-36 Gate ⇔ Kolliganahalli,D36G-KGH,1,3,1wy
Depot-36 Gate ⇔ Parasanapalya,D36G-PRSP,1,3,2xy
Depot-37 Kengeri ⇔ Kengeri Bus Station,D37-KGR,1,3,1ge
Depot-38 Chikkanagamangala ⇔ Depot-38 Gate,D38-D38G,1,3,1ie
Depot-38 Gate ⇔ Anekal,356-Z D38-ANK,1,3,1ue
Depot-38 Gate ⇔ Anekal,356-Z D38G-ANKL,1,3,1pp
Depot-38 Gate ⇔ Anekal,D38G-HLG-ANK,1,3,ey
Depot-38 Gate ⇔ Attibele Bus Stand,360 D38G-ATB,1,3,1im
Depot-38 Gate ⇔ Attibele Bus Stand,D38G-HLG-ATB,1,3,1fv
Depot-38 Gate ⇔ BDA Complex HSR Layout,356-CW D38G-HSRBDA,1,3,1sc
Depot-38 Gate ⇔ BEL Factory,500-DC D38G-BELF,1,3,18b
Depot-38 Gate ⇔ Banashankari Bus Station,600-F D38G-BSK,1,3,2j4
Depot-38 Gate ⇔ Bommasandra Village,355 D38-BMSV,1,3,1l8
Depot-38 Gate ⇔ Chikka Hagade,361-B D38G-CHD,1,3,wn
Depot-38 Gate ⇔ Dodda Nagamangala Tirumala Bekary,D38G-DNMTB,1,3,x9
Depot-38 Gate ⇔ Hadosiddapura,D38G-HDS,1,3,2r4
Depot-38 Gate ⇔ Handenahalli Attibele,349-A D38G-HND,1,3,279
Depot-38 Gate ⇔ Haraluru,D38G-HRL,1,3,2jy
Depot-38 Gate ⇔ Kempu Dommasandra,356-ZA D38G-KDMS,1,3,10e
Depot-38 Gate ⇔ Kudlu Slum Board,D38G-KSDB,1,3,2jg
Depot-38 Gate ⇔ Madavara,NICE-8C D38G-MDV,1,3,2mo
Depot-38 Gate ⇔ PES College Hostel Kasavanahalli,D38-PESCE,1,3,b
Depot-38 Gate ⇔ PES College Hostel Kasavanahalli,D38G-ELC-PESK,1,3,2e3
