stop_name,stop_id,stop_lat,stop_lon
Raghuvanahalli Cross,r7,12.88072,77.54602
Ragi Machine,2rg,12.89166,77.56026
Ragi Machine,eq,12.8916,77.56035
Ragigudda,5ab,12.917,77.59261
Ragigudda Temple,2c4,12.91695,77.59311
Ragigudda Temple,3ab,12.91678,77.59349
Ragihalli,3to,12.73881,77.57435
Ragihalli,8l,12.73896,77.57426
Ragihalli Gate,6a1,12.80026,77.5989
Ragihalli Gate,qk,12.80036,77.59897
Rahamathnagara,3bo,13.01755,77.5919
Rahamathnagara,4jg,13.01751,77.59186
Railway Bridge Babasabarapalya,1lp,12.90277,77.46235
Railway Bridge Byranayakanahalli,2by,13.19662,77.38051
Railway Bridge Byranayakanahalli,5b,13.19663,77.38058
Railway Gate,1il,13.25155,77.55394
Railway Gate Bashettihalli,11h,13.25148,77.55382
Railway Gate Gollahalli,4q6,13.15049,77.41184
Railway Gate Gollahalli,5r4,13.15046,77.4118
Railway Gate Kempapura,5ek,12.96902,77.55934
Railway Gate Kodigehalli,41,13.06187,77.57404
Railway Gate Kodigehalli,59v,13.06169,77.57429
Railway Gate Lakshmisagara,4nj,12.82418,77.41136
Railway Gate Lakshmisagara,66m,12.82382,77.41081
Railway Gollahalli,6ct,13.14688,77.41754
Railway Gollahalli,qd,13.14673,77.41744
Rainbow Layout,4ao,13.10122,77.5393
Raitarasanthe Yalahanka,4k5,13.09807,77.59866
Raitarasanthe Yalahanka,7q,13.09749,77.59892
Raj Bhavan,20u,12.98437,77.59287
Raj Bhavan,2a9,12.98331,77.59229
Raj Bhavan,6bv,12.98307,77.59206
Rajagopala Nagara Police Station,179,13.0236,77.52178
Rajagopala Nagara Police Station,62r,13.02361,77.52192
Rajagopalanagara,2wi,13.01368,77.50881
Rajajinagara 1st Block,66l,13.00476,77.54923
Rajajinagara 2nd Block,33u,12.99607,77.55144
Rajajinagara Entrance,1fv,12.98429,77.55726
Rajajinagara Entrance,2zc,12.98445,77.55716
Rajajinagara Metro Station,254,12.99967,77.54976
Rajajinagara Metro Station,3up,12.99983,77.54991
Rajajinagara Old Police Station,161,12.98928,77.55438
Rajajinagara Old Police Station,397,12.98992,77.55545
Rajanapalya,69b,12.99027,77.31533
Rajanapalya,6cf,12.99012,77.3155
Rajanukunte,106,13.17307,77.56432
Rajanukunte,2te,13.17494,77.56441
Rajanukunte,3k,13.17167,77.56446
Rajanukunte,4s7,13.17246,77.56448
Rajanukunte,5ff,13.17288,77.56415
Rajanukunte,684,13.17498,77.56439
Rajapalya,1va,12.99138,77.72084
Rajapalya,48c,12.99129,77.72123
Rajapura,3un,12.77542,77.67482
Rajapura,7a,12.77541,77.67466
Rajarajeshwari nagara Gate,13f,12.93631,77.51774
Rajarajeshwari nagara Gate,1g1,12.93544,77.51832
Rajarajeshwari nagara Gate,26a,12.93574,77.51824
Rajarajeshwari nagara Gate,2jz,12.93649,77.51861
Rajarajeshwari nagara Metro Station,3na,12.93635,77.51948
Rajarajeshwari nagara Metro Station,bq,12.93689,77.5196
Rajeshwarinagara,4lx,13.04531,77.46131
Rajeshwarinagara,ij,13.04526,77.46132
Rajiv Gandhi,1dx,12.98686,77.50424
Rajiv Gandhi,2cx,12.98702,77.50431
Rajiv Nagara,1od,13.2873,77.80517
Rajiv Nagara,3ae,13.28722,77.80521
Rajkumar Punya Bhoomi,2d,13.01859,77.5319
Rajkumar Punya Bhoomi,4h2,13.01818,77.53163
Ram Krishnapura Doddy,4f7,12.68719,77.46379
Ram Krishnapura Doddy,du,12.687,77.46372
Rama Devasthana Sarjapur,239,12.85988,77.78933
Rama Devasthana Sarjapur,679,12.85983,77.78929
Rama Mandira Chamarajapet,237,12.95703,77.56381
Rama Mandira Chamarajapet,57t,12.957,77.56302
Rama Mandira Rajajinagara,5yt,12.98623,77.55636
Ramachandrapura,2lz,13.06208,77.55111
Ramachandrapura,57u,13.06208,77.55115
Ramachandrapura Cross,4rw,13.05368,77.5509
Ramachandrapura Tent,3u8,13.05781,77.5514
Ramachandrapura Tent,4ug,13.05786,77.55144
Ramadevanahalli,32i,13.19099,77.43302
Ramadevanahalli Cross,2o5,13.19458,77.42296
Ramadevanahalli Cross,sp,13.19458,77.42288
Ramagondanahalli,1rg,12.95695,77.73949
Ramagondanahalli,210,12.95704,77.74039
Ramagondanahalli,3yh,13.11962,77.55836
Ramagondanahalli,vb,13.11945,77.55852
Ramagovindapuram,1lc,13.20924,77.87895
Ramakrishna Ashrama,1um,12.94945,77.56774
Ramakrishna Ashrama,2y4,12.94822,77.56824
Ramakrishna Ashrama,41n,12.94715,77.56783
Ramakrishna Ashrama,6eh,12.94898,77.56765
Ramakrishna Layout,2hh,12.97808,77.51653
Ramakrishna Nagara,4ov,13.01763,77.53428
Ramakrishna Nagara,4zv,13.01761,77.53422
Ramakrishnapura Circle,2na,12.78098,77.69426
Ramakrishnapura Circle,47i,12.78106,77.69426
Ramakrishnapura Gate,18u,12.77904,77.70183
Ramakrishnapura Gate,lu,12.77908,77.70215
Ramakrishnapura Gate,sj,12.77889,77.70211
Ramalinga Reddy Estate,1mk,12.74574,77.74012
Ramalinga Reddy Estate,3u1,12.74575,77.74018
Ramamandira,484,12.99343,77.56781
Ramamurthy Nagara Alada Mara,2y7,13.01139,77.67668
Ramamurthy Nagara Alada Mara,90,13.01146,77.67644
Ramamurthy Nagara Church,3nu,13.01177,77.67878
Ramamurthy Nagara Church,5xz,13.01169,77.67891
Ramamurthy Nagara Manipal,2qm,13.01169,77.67044
Ramamurthy Nagara Manipal,4n2,13.01164,77.67054
Ramamurthy Nagara Police Station,46j,13.01205,77.66778
Ramamurthy Nagara Police Station,nd,13.01212,77.66735
Ramanahalli,4b2,13.18326,77.74412
Ramanahalli,5x5,13.18323,77.74408
Ramanahalli,mw,12.74168,77.40167
Ramanayakana Thandya,1sq,12.86049,77.3834
Ramanayakana Thandya,20g,12.86037,77.38346
RamanayakanaDoddy,3er,12.73818,77.58891
RamanayakanaDoddy Cross,34c,12.74561,77.57574
RamanayakanaDoddy Cross,g6,12.74564,77.57584
Ramanayakanahalli,17w,12.90953,77.75587
Ramanayakanahalli,2k9,12.90955,77.75593
Ramanjaneya Layout Chikkallasandra,b1,12.91062,77.54539
Ramanjaneya Layout Cross,4pc,12.91461,77.54702
Ramanjaneya Layout Cross,5j,12.91464,77.54701
Ramanjaneya Temple Nandhini Layout,1x1,13.02093,77.52907
Ramanjaneya Temple Nandhini Layout,4tl,13.02084,77.52921
Ramapura,4gi,13.19127,77.79507
Ramapura,ka,13.19126,77.79511
Ramapura Cross,ks,12.83931,77.32756
Ramasagara,3dn,12.82079,77.71873
Ramasagara,4gc,12.82089,77.71885
Ramasandra,1wv,12.9455,77.46797
Ramasandra,3d3,12.80759,77.61469
Ramasandra,47c,12.80755,77.61473
Ramasandra Cross,3h5,12.93257,77.46169
Ramasandra Cross,wr,12.93259,77.46163
Ramaswamypalya,4zw,13.00964,77.63534
Ramesh Nagara Cross,2vd,12.95464,77.67998
Ramesh Nagara Cross,59s,12.95469,77.67999
Rameshnagara,1wd,12.96412,77.68212
Rameshnagara,3lj,12.96408,77.68213
Ramkrishana Layout,3fv,12.97793,77.51647
Ramohalli,1z0,12.907,77.41912
Ramohalli,4,12.77405,77.77113
Ramohalli,59g,12.77436,77.77124
Ramohalli,pn,12.90707,77.41898
Ramohalli Cross,3qb,12.88674,77.45125
Ramohalli Cross,tl,12.88701,77.45112
Rampura,19g,13.05161,77.69119
Rampura,3g,12.89027,77.39881
Rampura,3ym,12.84127,77.32765
Rampura,5a4,13.0174,77.35093
Rampura,5au,12.94285,77.94126
Rampura,5o2,13.05163,77.69114
Rampura,cj,12.89022,77.39881
Rampura Cross,1zf,13.05205,77.68108
Rampura Cross,5rq,13.05198,77.6811
Rampura Cross,tt,13.05199,77.68104
Ranga Jangama,57k,12.85578,77.45274
Ranga Jangama,5iw,12.85579,77.45278
Ranga Jangama,5qd,12.85562,77.45281
Rangaiahnapalya,517,12.99199,77.26759
Ranganathpura,47x,12.95115,77.24165
Ranganathpura,5sv,12.95104,77.24187
Rangappa Circle,18m,13.28753,77.54399
Rangappa Circle,66n,13.2874,77.5439
Rangappanapalya Gate,5kg,12.99279,77.34948
Rani Circle,31e,13.26728,77.7198
Rani Circle,3x2,13.26859,77.71978
Rani Circle,4vr,13.2674,77.71954
Rani Saraladevi,3tj,12.93895,77.58521
Rani Saraladevi High School,3o7,12.93769,77.58506
Rashi Gateway,122,13.11118,77.36989
Rashi Gateway Cross,1j2,13.11034,77.37765
Ravagodlu,3rj,12.74814,77.50117
Ravagodlu,4j0,12.74817,77.50112
Ravagodlu Gate,2wn,12.74895,77.48633
Ravagodlu Gate,2ya,12.74897,77.4865
Ravi Badavane Jai Maruthi Nagara,3ug,13.00673,77.5323
Ravi Tent,357,12.95166,77.62138
Ravi Tent,5ks,12.95169,77.62148
Ravindra Nagara,ic,13.04995,77.51654
Ravuthanahalli,2gd,13.02665,77.42385
Ravuthanahalli,4f0,13.02683,77.42386
Ravuthanahalli Cross,1ej,13.0734,77.43899
Ravuthanahalli Cross,324,13.07334,77.43938
Ravuthanahalli Cross,3y6,13.07362,77.43959
Rayal Layout,29v,12.86934,77.57589
Rayan Circle,650,12.96047,77.5679
Rayan Circle,hc,12.96136,77.56889
Rayara Doddy,41t,12.76715,77.51368
Rayasandra,2de,12.87945,77.67206
Rayasandra,32o,13.21882,77.7256
Rayasandra,3bh,13.21876,77.72563
Rayasandra,3rk,12.87939,77.67211
Rayasandra Circle,1oy,12.87569,77.67126
Rayasandra Circle,22r,12.8757,77.67112
Rayasandra Cross,et,13.21176,77.74142
Rayasandra Cross,p9,13.21175,77.74139
Rayasandra Gate,14s,13.23358,77.72709
Rayasandra Gate,24n,13.23351,77.72712
Razakpalya,1pv,13.14592,77.65818
Razakpalya,1rw,13.14594,77.65823
Razakpalya Cross,14n,13.14968,77.65884
Razakpalya Cross,m,13.14965,77.65882
Reddyhalli,13j,13.18941,77.7545
Reliance Petrol Bunk Goraguntepalya,1h,13.02866,77.5363
Reliance Petrol Bunk Goraguntepalya,2mi,13.02861,77.53612
Renaissance prosperio apartment,3if,13.06426,77.59362
Renuka Nagara,1s5,13.1058,77.38812
Renuka Nagara,3i6,13.10567,77.38816
Reserve Bank Of India Nrupatunga Road,im,12.97214,77.58689
Reva College,er,13.11532,77.63411
Reva College,oj,13.11538,77.63423
Reva College Gate,447,13.12214,77.63037
Reva College Gate,56c,13.12207,77.63066
Reva College Gate,g9,13.12226,77.63053
Richard Farm,290,12.77797,77.52522
Richard Farm,6el,12.77774,77.52522
Richmond Circle,2lg,12.96738,77.59946
Richmond Circle,5mx,12.96366,77.5964
Richmond Circle,5zt,12.9658,77.60433
Robin Theatre,1oj,12.91602,77.47986
Robin Theatre,5h6,12.91588,77.47997
